Row,g,k,v_Hb,f,lb,tb,lb<f,k*vHb<c,reached_birth,success,execution_time,error_type,error_message
1,0.001,1,1e-14,1,2.15443469003189e-05,0.0646734819039009,1,1,1,1,0.1575814,none,
2,0.001,1,1.11383982648262e-14,1,2.23326836560177e-05,0.0670399825353439,1,1,1,1,0.1521785,none,
3,0.001,1,1.24063915905883e-14,1,2.31498667185116e-05,0.0694930774090241,1,1,1,1,0.1517828,none,
4,0.001,1,1.38187330565363e-14,1,2.39969516131325e-05,0.0720165397252626,1,1,1,1,0.1518408,none,
5,0.001,1,1.53918552299021e-14,1,2.487503248831e-05,0.0746517352997872,1,1,1,1,0.1483569,none,
6,0.001,1,1.71440613585197e-14,1,2.57852435288427e-05,0.0773833572166296,1,1,1,1,0.1505887,none,
7,0.001,1,1.9095738328781e-14,1,2.67287604208833e-05,0.0802149339186857,1,1,1,1,0.1508194,none,
8,0.001,1,2.12695938666869e-14,1,2.77068018705287e-05,0.0831501229647668,1,1,1,1,0.1508972,none,
9,0.001,1,2.36909207418263e-14,1,2.87206311779783e-05,0.0861927157545293,1,1,1,1,0.1509469,none,
10,0.001,1,2.63878910482893e-14,1,2.97715578692922e-05,0.0893466424263266,1,1,1,1,0.1510614,none,
11,0.001,1,2.93918839864689e-14,1,3.08609393878581e-05,0.0926159769343118,1,1,1,1,0.1511263,none,
12,0.001,1,3.27378509594858e-14,1,3.19901828477507e-05,0.0960049423113536,1,1,1,1,0.1510676,none,
13,0.001,1,3.64647222321275e-14,1,3.31607468512497e-05,0.0995179161245667,1,1,1,1,0.1511037,none,
14,0.001,1,4.06158598837699e-14,1,3.43741433728625e-05,0.103159436130508,1,1,1,1,0.1501551,none,
15,0.001,1,4.52395623253806e-14,1,3.56319397122859e-05,0.106934206137346,1,1,1,1,0.1495925,none,
16,0.001,1,5.03896262506515e-14,1,3.693576051883e-05,0.110847102081581,1,1,1,1,0.1494259,none,
17,0.001,1,5.61259725595497e-14,1,3.82872898899178e-05,0.114903178327177,1,1,1,1,0.1490258,none,
18,0.001,1,6.25153435368972e-14,1,3.96882735463717e-05,0.119107674195226,1,1,1,1,0.1485277,none,
19,0.001,1,6.96320793976389e-14,1,4.11405210872972e-05,0.123466020732619,1,1,1,1,0.1479629,none,
20,0.001,1,7.755898323389e-14,1,4.26459083274758e-05,0.127983847728435,1,1,1,1,0.1474519,none,
21,0.001,1,8.63882844274044e-14,1,4.42063797202853e-05,0.132666990987146,1,1,1,1,0.1468877,none,
22,0.001,1,9.62227117367515e-14,1,4.58239508692797e-05,0.137521499868031,1,1,1,1,0.1462547,none,
23,0.001,1,1.0717668854455e-13,1,4.75007111316693e-05,0.142553645100535,1,1,1,1,0.1456444,none,
24,0.001,1,1.19377664171444e-13,1,4.92388263170674e-05,0.147769926885694,1,1,1,1,0.1450067,none,
25,0.001,1,1.32967596746621e-13,1,5.10405414849865e-05,0.153177083294087,1,1,1,1,0.144382,none,
26,0.001,1,1.48104604888068e-13,1,5.29081838446996e-05,0.158763202152943,1,1,1,1,0.143786,none,
27,0.001,1,1.64964807409802e-13,1,5.48441657612102e-05,0.164572625873461,1,1,1,1,0.0227867,none,
28,0.001,1,1.83744372461072e-13,1,5.68509878712164e-05,0.170594629001959,1,1,1,1,0.020489,none,
29,0.001,1,2.04661799939199e-13,1,5.89312423130908e-05,0.176836990459859,1,1,1,1,0.021225,none,
30,0.001,1,2.27960463731898e-13,1,6.10876160750504e-05,0.183307773836187,1,1,1,1,0.0218317,none,
31,0.001,1,2.53911443368035e-13,1,6.33228944658412e-05,0.19001533780591,1,1,1,1,0.0223181,none,
32,0.001,1,2.82816678023003e-13,1,6.56399647124181e-05,0.196968346929637,1,1,1,1,0.022691,none,
33,0.001,1,3.15012479575532e-13,1,6.8041819689271e-05,0.204175782848662,1,1,1,1,0.0230654,none,
34,0.001,1,3.50873445590271e-13,1,7.05315617842098e-05,0.211646955889809,1,1,1,1,0.0235389,none,
35,0.001,1,3.90816817753626e-13,1,7.31124069056051e-05,0.219391517095095,1,1,1,1,0.0237943,none,
36,0.001,1,4.35307336473188e-13,1,7.57876886362593e-05,0.22741947069178,1,1,1,1,0.0241265,none,
37,0.001,1,4.84862648123909e-13,1,7.85608625392724e-05,0.235741187018911,1,1,1,1,0.0241286,none,
38,0.001,1,5.40059327854237e-13,1,8.14355106214659e-05,0.244367415927097,1,1,1,1,0.0237204,none,
39,0.001,1,6.01539588027483e-13,1,8.44153459601299e-05,0.253309300668845,1,1,1,1,0.0235009,none,
40,0.001,1,6.70018750350958e-13,1,8.7504217499068e-05,0.262578392297413,1,1,1,1,0.0233076,none,
41,0.001,1,7.46293568631015e-13,1,9.07061150201371e-05,0.272186664592825,1,1,1,1,0.0230725,none,
42,0.001,1,8.31251498989063e-13,1,9.40251742967014e-05,0.282146529534344,1,1,1,1,0.0230728,none,
43,0.001,1,9.25881025397395e-13,1,9.74656824356593e-05,0.292470853339431,1,1,1,1,0.0232585,none,
44,0.001,1,1.03128316067219e-12,1,0.000101032083414942,0.303172973089935,1,1,1,1,0.0234359,none,
45,0.001,1,1.14868425673755e-12,1,0.000104728983823636,0.31426671396703,1,1,1,1,0.023554,none,
46,0.001,1,1.27945027320787e-12,1,0.000108561158812145,0.325766407117204,1,1,1,1,0.0240722,none,
47,0.001,1,1.425102670303e-12,1,0.000112533558260077,0.337686908172418,1,1,1,1,0.023875,none,
48,0.001,1,1.58733611101021e-12,1,0.00011665131316982,0.350026651811033,1,1,1,1,0.0237318,none,
49,0.001,1,1.76803817845721e-12,1,0.000120919742294072,0.362834909430839,1,1,1,1,0.0237678,none,
50,0.001,1,1.96931133790742e-12,1,0.000125344359005875,0.376111861571617,1,1,1,1,0.0238774,none,
51,0.001,1,2.19349739890506e-12,1,0.000129930878420042,0.389874660118521,1,1,1,1,0.0238227,none,
52,0.001,1,2.44320476218649e-12,1,0.000134685224775152,0.404141084695501,1,1,1,1,0.0239021,none,
53,0.001,1,2.72133876837531e-12,1,0.000139613539085679,0.418929565644664,1,1,1,1,0.0215098,none,
54,0.001,1,3.03113550156758e-12,1,0.000144722187074114,0.434258317991209,1,1,1,1,0.0215258,none,
55,0.001,1,3.37619944111133e-12,1,0.000150017767393328,0.45014889299843,1,1,1,1,0.02143,none,
56,0.001,1,3.76054539965818e-12,1,0.000155507120149818,0.466620961124703,1,1,1,1,0.021535,none,
57,0.001,1,4.18864523543527e-12,1,0.000161197335738816,0.483695802635461,1,1,1,1,0.1518535,none,
58,0.001,1,4.66547988223447e-12,1,0.000167095764002694,0.50139547666705,1,1,1,1,0.0214891,none,
59,0.001,1,5.19659730248621e-12,1,0.000173210023724485,0.519742849741369,1,1,1,1,0.0224594,none,
60,0.001,1,5.78817703770128e-12,1,0.000179548012468783,0.53876162532499,1,1,1,1,0.1512632,none,
61,0.001,1,6.44710210732387e-12,1,0.000186117916782741,0.558475466156281,1,1,1,1,0.0227967,none,
62,0.001,1,7.18103909253734e-12,1,0.00019292822277033,0.578911626030916,1,1,1,1,0.0236208,none,
63,0.001,1,7.99852733679669e-12,1,0.000199987727053529,0.600095631339041,1,1,1,1,0.1503213,none,
64,0.001,1,8.90907830093414e-12,1,0.000207305548134595,0.622054851132826,1,1,1,1,0.1500022,none,
65,0.001,1,9.92328622883255e-12,1,0.000214891138174105,0.644817656261282,1,1,1,1,0.1494299,none,
66,0.001,1,1.10529514112602e-11,1,0.000222754295199956,0.668412749088735,1,1,1,1,0.1489882,none,
67,0.001,1,1.23112174820389e-11,1,0.000230905175763122,0.69287110907543,1,1,1,1,0.0201129,none,
68,0.001,1,1.3712724343984e-11,1,0.000239354308056498,0.718225412058026,1,1,1,1,0.1476102,none,
69,0.001,1,1.52737785039071e-11,1,0.000248112605513777,0.744507553647201,1,1,1,1,0.1472147,none,
70,0.001,1,1.70125427985259e-11,1,0.000257191380905934,0.771751491449078,1,1,1,1,0.1465946,none,
71,0.001,1,1.89492477187382e-11,1,0.000266602360953517,0.799992426126661,1,1,1,1,0.1464902,none,
