Row,g,k,v_Hb,f,lb,tb,lb<f,k*vHb<c,reached_birth,success,execution_time,error_type,error_message
1,1e-05,0.3,1e-06,0.8,0.0067020209832307,2013.11947107305,1,1,1,1,0.7187491,none,
2,1e-05,0.3,1.05538610303652e-06,0.8,0.00682339700538845,2049.64010713577,1,1,1,1,0.716222,none,
3,1e-05,0.3,1.11383982648262e-06,0.8,0.00694697372655848,2086.8251900559,1,1,1,1,0.7158422,none,
4,1e-05,0.3,1.17553107387837e-06,0.8,0.00707279104223039,2124.68684901344,1,1,1,1,0.7155911,none,
5,1e-05,0.3,1.24063915905883e-06,0.8,0.0072008895823905,2163.23743959942,1,1,1,1,0.7098986,none,
6,1e-05,0.3,1.30935332735361e-06,0.8,0.00733131070486622,2202.4895418674,1,1,1,1,0.7128439,none,
7,1e-05,0.3,1.38187330565363e-06,0.8,0.00746409652613591,2242.45596968062,1,1,1,1,0.7127302,none,
8,1e-05,0.3,1.45840988294399e-06,0.8,0.00759928991705931,2283.14977073832,1,1,1,1,0.7126585,none,
9,1e-05,0.3,1.53918552299021e-06,0.8,0.00773693453190685,2324.58423387343,1,1,1,1,0.7127094,none,
10,1e-05,0.3,1.62443501095887e-06,0.8,0.00787707481272683,2366.77289175712,1,1,1,1,0.7128566,none,
11,1e-05,0.3,1.71440613585197e-06,0.8,0.00801975601316384,2409.72952789732,1,1,1,1,0.7129369,none,
12,1e-05,0.3,1.80936041073872e-06,0.8,0.00816502419914914,2453.46817682511,1,1,1,1,0.7130279,none,
13,1e-05,0.3,1.9095738328781e-06,0.8,0.00831292629990611,2498.00314136895,1,1,1,1,0.7131147,none,
14,1e-05,0.3,2.01533768594174e-06,0.8,0.00846350996594446,2543.34894764909,1,1,1,1,0.7131998,none,
15,1e-05,0.3,2.12695938666869e-06,0.8,0.00861682410954142,2589.52050964737,1,1,1,1,0.7134512,none,
16,1e-05,0.3,2.24476337841322e-06,0.8,0.00877291779968989,2636.5327968327,1,1,1,1,0.7132344,none,
17,1e-05,0.3,2.36909207418263e-06,0.8,0.00893184168072864,2684.40126108189,1,1,1,1,0.7131841,none,
18,1e-05,0.3,2.50030685190633e-06,0.8,0.00909364704786978,2733.14155890506,1,1,1,1,0.7131168,none,
19,1e-05,0.3,2.63878910482893e-06,0.8,0.00925839187396881,2782.77136724848,1,1,1,1,0.7129509,none,
20,1e-05,0.3,2.78494135008064e-06,0.8,0.0094261182250134,2833.3035802283,1,1,1,1,0.7126595,none,
21,1e-05,0.3,2.93918839864688e-06,0.8,0.00959688561809514,2884.75635854521,1,1,1,1,0.7123707,none,
22,1e-05,0.3,3.1019785901381e-06,0.8,0.00977074917584095,2937.14654906391,1,1,1,1,0.7118374,none,
23,1e-05,0.3,3.27378509594858e-06,0.8,0.0099477650691019,2990.49132474311,1,1,1,1,0.7112812,none,
24,1e-05,0.3,3.45510729459222e-06,0.8,0.010127990474507,3044.80817183075,1,1,1,1,0.7108529,none,
25,1e-05,0.3,3.64647222321274e-06,0.8,0.0103114835629405,3100.11488809428,1,1,1,1,0.7101059,none,
26,1e-05,0.3,3.84843610948743e-06,0.8,0.0104983035802856,3156.42960583326,1,1,1,1,0.7096925,none,
27,1e-05,0.3,4.06158598837698e-06,0.8,0.0106885108801973,3213.77080329798,1,1,1,1,0.2345699,none,
28,1e-05,0.3,4.28654140842093e-06,0.8,0.0108821668785077,3272.15729116312,1,1,1,1,0.2342272,none,
29,1e-05,0.3,4.52395623253806e-06,0.8,0.0110793340908987,3331.60822461001,1,1,1,1,0.2346698,none,
30,1e-05,0.3,4.77452053856613e-06,0.8,0.0112800761950535,3392.14312213627,1,1,1,1,0.2349112,none,
31,1e-05,0.3,5.03896262506515e-06,0.8,0.0114844580168693,3453.78186218295,1,1,1,1,0.2353158,none,
32,1e-05,0.3,5.3180511282142e-06,0.8,0.0116925455192582,3516.54468013695,1,1,1,1,0.2354296,none,
33,1e-05,0.3,5.61259725595497e-06,0.8,0.0119044058788014,3580.45219212798,1,1,1,1,0.2355164,none,
34,1e-05,0.3,5.92345714587581e-06,0.8,0.0121201075659208,3645.52541986756,1,1,1,1,0.2355953,none,
35,1e-05,0.3,6.25153435368971e-06,0.8,0.0123397202369479,3711.78575845292,1,1,1,1,0.2355849,none,
36,1e-05,0.3,6.59778247953953e-06,0.8,0.012563314701316,3779.25496738852,1,1,1,1,0.2356518,none,
37,1e-05,0.3,6.96320793976389e-06,0.8,0.0127909632585091,3847.95527260482,1,1,1,1,0.2355982,none,
38,1e-05,0.3,7.34887289218039e-06,0.8,0.0130227393256014,3917.90925491709,1,1,1,1,0.235844,none,
39,1e-05,0.3,7.755898323389e-06,0.8,0.0132587178292589,3989.13996897515,1,1,1,1,0.2358707,none,
40,1e-05,0.3,8.18546730706902e-06,0.8,0.0134989749629351,4061.67087053064,1,1,1,1,0.2359439,none,
41,1e-05,0.3,8.63882844274045e-06,0.8,0.013743588177056,4135.52581491806,1,1,1,1,0.3736371,none,
42,1e-05,0.3,9.11729948498492e-06,0.8,0.013992636583775,4210.72917887252,1,1,1,1,0.2355367,none,
43,1e-05,0.3,9.62227117367513e-06,0.8,0.0142462005370439,4287.3057355724,1,1,1,1,0.2356588,none,
44,1e-05,0.3,1.01552112763457e-05,0.8,0.0145043619979614,4365.28076530798,1,1,1,1,0.2357653,none,
45,1e-05,0.3,1.0717668854455e-05,0.8,0.014767204200945,4444.67995525063,1,1,1,1,0.2359507,none,
46,1e-05,0.3,1.13112787659392e-05,0.8,0.0150348120540194,4525.52952245201,1,1,1,1,0.235929,none,
47,1e-05,0.3,1.19377664171444e-05,0.8,0.0153072720252097,4607.85617893239,1,1,1,1,0.2361046,none,
48,1e-05,0.3,1.25989527779503e-05,0.8,0.015584671973321,4691.6870823346,1,1,1,1,0.2363267,none,
49,1e-05,0.3,1.32967596746621e-05,0.8,0.0158671016142374,4777.04997787561,1,1,1,1,0.2365104,none,
50,1e-05,0.3,1.40332153760548e-05,0.8,0.0161546520414798,4863.97305419978,1,1,1,1,0.2368323,none,
51,1e-05,0.3,1.48104604888068e-05,0.8,0.0164474161900288,4952.48508481575,1,1,1,1,0.237099,none,
