Row,g,k,v_Hb,f,lb,tb,lb<f,k*vHb<c,reached_birth,success,execution_time,error_type,error_message
1,1e-05,0.3,1e-06,1,0.00670203386568055,2012.37942695143,1,1,1,1,0.3216985,none,
2,1e-05,0.3,1.05538610303652e-06,1,0.00682341012438588,2048.87415914599,1,1,1,1,0.5433918,none,
3,1e-05,0.3,1.11383982648262e-06,1,0.00671887558148879,2017.44319350402,1,0,0,1,0.1494089,none,
4,1e-05,0.3,1.17553107387837e-06,1,0.00683669082821834,2052.86743437237,1,0,0,1,0.1605439,none,
5,1e-05,0.3,1.24063915905883e-06,1,0.00720090343215399,2162.38807319808,1,1,1,1,0.2997061,none,
6,1e-05,0.3,1.30935332735361e-06,1,0.00733132480877031,2201.61035155883,1,1,1,1,0.3035661,none,
7,1e-05,0.3,1.38187330565363e-06,1,0.00746411088536935,2241.5458841458,1,1,1,1,0.3120169,none,
8,1e-05,0.3,1.45840988294399e-06,1,0.00759930453745267,2282.20768024067,1,1,1,1,0.5316919,none,
9,1e-05,0.3,1.53918552299021e-06,1,0.0077369494217457,2323.60898992911,1,1,1,1,0.5335187,none,
10,1e-05,0.3,1.62443501095887e-06,1,0.00787708997628225,2365.76330255025,1,1,1,1,0.3128156,none,
11,1e-05,0.3,1.71440613585197e-06,1,0.00801977145154353,2408.68435729037,1,1,1,1,0.3149238,none,
12,1e-05,0.3,1.80936041073872e-06,1,0.00816503992080478,2452.38614635743,1,1,1,1,0.3630721,none,
13,1e-05,0.3,1.9095738328781e-06,1,0.00831294228614444,2496.88291696047,1,1,1,1,0.3642388,none,
14,1e-05,0.3,2.01533768594174e-06,1,0.00846352630893339,2542.1891807054,1,1,1,1,0.5412325,none,
15,1e-05,0.3,2.12695938666869e-06,1,0.00861684060683601,2588.31971276864,1,1,1,1,0.5475698,none,
16,1e-05,0.3,2.24476337841322e-06,1,0.00877293468365789,2635.28956164495,1,1,1,1,0.5482782,none,
17,1e-05,0.3,2.36909207418263e-06,1,0.00893185894340456,2683.11405300886,1,1,1,1,0.3620592,none,
18,1e-05,0.3,2.50030685190633e-06,1,0.00909366469746018,2731.80879244214,1,1,1,1,0.3634993,none,
19,1e-05,0.3,2.63878910482893e-06,1,0.00925840419300824,2781.38967364723,1,1,1,1,0.3647973,none,
20,1e-05,0.3,2.78494135008064e-06,1,0.00942613062297374,2831.87288366802,1,1,1,1,0.3662504,none,
21,1e-05,0.3,2.93918839864688e-06,1,0.00959689820426614,2883.27492395165,1,1,1,1,0.5439506,none,
22,1e-05,0.3,3.1019785901381e-06,1,0.00977076186675825,2935.61251889347,1,1,1,1,0.3688573,none,
23,1e-05,0.3,3.27378509594858e-06,1,0.00994777800514027,2988.90284200362,1,1,1,1,0.5432205,none,
24,1e-05,0.3,3.45510729459222e-06,1,0.0101280036573575,3043.16326878837,1,1,1,1,0.3683535,none,
25,1e-05,0.3,3.64647222321274e-06,1,0.0103114969963807,3098.41152525767,1,1,1,1,0.3690241,none,
26,1e-05,0.3,3.84843610948743e-06,1,0.0104983172802174,3154.66567290051,1,1,1,1,0.3693862,none,
27,1e-05,0.3,4.06158598837698e-06,1,0.0106885307442343,3211.94588461054,1,1,1,1,0.104115,none,
28,1e-05,0.3,4.28654140842093e-06,1,0.0108821872991522,3270.26742607273,1,1,1,1,0.2708049,none,
29,1e-05,0.3,4.52395623253806e-06,1,0.0110793550311356,3329.65104697774,1,1,1,1,0.0593624,none,
30,1e-05,0.3,4.77452053856613e-06,1,0.0112800976372499,3390.11618559399,1,1,1,1,0.0599992,none,
31,1e-05,0.3,5.03896262506515e-06,1,0.0114844799085959,3451.68262031016,1,1,1,1,0.0608282,none,
32,1e-05,0.3,5.3180511282142e-06,1,0.0116925678754353,3514.37051505247,1,1,1,1,0.2412457,none,
33,1e-05,0.3,5.61259725595497e-06,1,0.0119044287269405,3578.20039353688,1,1,1,1,0.0610702,none,
34,1e-05,0.3,5.92345714587581e-06,1,0.0121201308751534,3643.19316034496,1,1,1,1,0.0621937,none,
35,1e-05,0.3,6.25153435368971e-06,1,0.0123397439229967,3709.3700914925,1,1,1,1,0.0627978,none,
36,1e-05,0.3,6.59778247953953e-06,1,0.0125633388927155,3776.75290374125,1,1,1,1,0.0632982,none,
37,1e-05,0.3,6.96320793976389e-06,1,0.0127909878884304,3845.36365329339,1,1,1,1,0.0628718,none,
38,1e-05,0.3,7.34887289218039e-06,1,0.0130227644507965,3915.22484334394,1,1,1,1,0.0623743,none,
39,1e-05,0.3,7.755898323389e-06,1,0.0132587434090899,3986.35938001622,1,1,1,1,0.0617824,none,
40,1e-05,0.3,8.18546730706902e-06,1,0.0134990009525697,4058.79059441673,1,1,1,1,0.0612524,none,
41,1e-05,0.3,8.63882844274045e-06,1,0.0137436147069337,4132.54226622875,1,1,1,1,0.0603752,none,
42,1e-05,0.3,9.11729948498492e-06,1,0.0139926635546633,4207.63857053503,1,1,1,1,0.0597648,none,
43,1e-05,0.3,9.62227117367513e-06,1,0.0142462280450234,4284.10420156457,1,1,1,1,0.0591167,none,
44,1e-05,0.3,1.01552112763457e-05,1,0.01450438997962,4361.96424867395,1,1,1,1,0.0579409,none,
45,1e-05,0.3,1.0717668854455e-05,1,0.0147672327011495,4441.24428394391,1,1,1,1,0.056563,none,
46,1e-05,0.3,1.13112787659392e-05,1,0.015034841098628,4521.97036459955,1,1,1,1,0.0561676,none,
47,1e-05,0.3,1.19377664171444e-05,1,0.0153073015821853,4604.16902621964,1,1,1,1,0.0578808,none,
48,1e-05,0.3,1.25989527779503e-05,1,0.015584702134431,4687.86729875648,1,1,1,1,0.0597029,none,
49,1e-05,0.3,1.32967596746621e-05,1,0.0158671323122696,4773.09270792423,1,1,1,1,0.1770945,none,
50,1e-05,0.3,1.40332153760548e-05,1,0.016154683306413,4859.8732947307,1,1,1,1,0.178797,none,
51,1e-05,0.3,1.48104604888068e-05,1,0.0164474479335654,4948.23761258304,1,1,1,1,0.1804583,none,
52,1e-05,0.3,1.56307541794582e-05,1,0.0167455207731497,5038.21477043986,1,1,1,1,0.1815277,none,
53,1e-05,0.3,1.64964807409802e-05,1,0.0170489981340415,5129.83442341537,1,1,1,1,0.1823498,none,
54,1e-05,0.3,1.74101565230402e-05,1,0.0173579778230658,5223.12670376167,1,1,1,1,0.182882,none,
55,1e-05,0.3,1.83744372461072e-05,1,0.0176725598532347,5318.12243613527,1,1,1,1,0.183254,none,
56,1e-05,0.3,1.93921257206583e-05,1,0.0179928455231063,5414.85286000198,1,1,1,1,0.1832622,none,
57,1e-05,0.3,2.04661799939199e-05,1,0.0183189384879249,5513.34995459251,1,1,1,1,0.1837562,none,
58,1e-05,0.3,2.15997219478272e-05,1,0.018650943876153,5613.64617290315,1,1,1,1,0.1841988,none,
59,1e-05,0.3,2.27960463731898e-05,1,0.018988968888543,5715.77462397432,1,1,1,1,0.1841261,none,
60,1e-05,0.3,2.40586305464407e-05,1,0.0193331229161606,5819.76910976284,1,1,1,1,0.1840161,none,
61,1e-05,0.3,2.53911443368035e-05,1,0.019683516758658,5925.66389020827,1,1,1,1,0.1846083,none,
62,1e-05,0.3,2.67974608732569e-05,1,0.0200402637681146,6033.49402990744,1,1,1,1,0.1825114,none,
63,1e-05,0.3,2.82816678023003e-05,1,0.0204034789167762,6143.29511792206,1,1,1,1,0.1817935,none,
64,1e-05,0.3,2.98480791692433e-05,1,0.0207732797409232,6255.10355439193,1,1,1,1,0.1821067,none,
65,1e-05,0.3,3.15012479575533e-05,1,0.0211497854816269,6368.95629221647,1,1,1,1,0.1822407,none,
66,1e-05,0.3,3.32459793227095e-05,1,0.0215331179060207,6484.89108681326,1,1,1,1,0.1822817,none,
67,1e-05,0.3,3.50873445590271e-05,1,0.0219234003733906,6602.9462150726,1,1,1,1,0.1823057,none,
68,1e-05,0.3,3.70306958400514e-05,1,0.0223207594153236,6723.16095565556,1,1,1,1,0.1819913,none,
69,1e-05,0.3,3.90816817753626e-05,1,0.0227253230995528,6845.57509461263,1,1,1,1,0.1814927,none,
70,1e-05,0.3,4.12462638290135e-05,1,0.023137221896358,6970.22918979699,1,1,1,1,0.1809703,none,
71,1e-05,0.3,4.35307336473189e-05,1,0.0235565888781194,7097.16463294012,1,1,1,1,0.0607524,none,
