Row,g,k,v_Hb,f,lb,tb,lb<f,k*vHb<c,reached_birth,success,execution_time,error_type,error_message
1,1e-05,3,1e-06,0.8,0.014420313968897,4339.89380725482,1,1,1,1,0.5949165,none,
2,1e-05,3,1.05538610303652e-06,0.8,0.0146818133742404,4418.88400377539,1,1,1,1,0.5883023,none,
3,1e-05,3,1.11383982648262e-06,0.8,0.0149480540199993,4499.31703241572,1,1,1,1,0.5881702,none,
4,1e-05,3,1.17553107387837e-06,0.8,0.0152191220124902,4581.21948863825,1,1,1,1,0.5881394,none,
5,1e-05,3,1.24063915905883e-06,0.8,0.0154951047545398,4664.61838497138,1,1,1,1,0.5840482,none,
6,1e-05,3,1.30935332735361e-06,0.8,0.0157760914997241,4749.54131917499,1,1,1,1,0.5877751,none,
7,1e-05,3,1.38187330565363e-06,0.8,0.0160621728939269,4836.01633660561,1,1,1,1,0.5881008,none,
8,1e-05,3,1.45840988294399e-06,0.8,0.0163534412195337,4924.07200520409,1,1,1,1,0.58832,none,
9,1e-05,3,1.53918552299021e-06,0.8,0.0166499907328262,5013.73751857569,1,1,1,1,0.5884985,none,
10,1e-05,3,1.62443501095887e-06,0.8,0.0169519170410435,5105.04250878031,1,1,1,1,0.5885362,none,
11,1e-05,3,1.71440613585197e-06,0.8,0.0172593179390798,5198.0173004508,1,1,1,1,0.5886744,none,
12,1e-05,3,1.80936041073872e-06,0.8,0.0175722921382729,5292.69252799999,1,1,1,1,0.5888094,none,
13,1e-05,3,1.9095738328781e-06,0.8,0.0178909409590627,5389.099648229,1,1,1,1,0.5889247,none,
14,1e-05,3,2.01533768594174e-06,0.8,0.0182153673078824,5487.27063256194,1,1,1,1,0.5887002,none,
15,1e-05,3,2.12695938666869e-06,0.8,0.0185456759377406,5587.2380471422,1,1,1,1,0.5885679,none,
16,1e-05,3,2.24476337841322e-06,0.8,0.0188819734765158,5689.03506281606,1,1,1,1,0.5885446,none,
17,1e-05,3,2.36909207418263e-06,0.8,0.0192243685346866,5792.69548937654,1,1,1,1,0.5884736,none,
18,1e-05,3,2.50030685190633e-06,0.8,0.0195729716599783,5898.25376309504,1,1,1,1,0.5883632,none,
19,1e-05,3,2.63878910482893e-06,0.8,0.0199278954185068,6005.74497326566,1,1,1,1,0.5881763,none,
20,1e-05,3,2.78494135008064e-06,0.8,0.0202892544012526,6115.20486541043,1,1,1,1,0.5878727,none,
21,1e-05,3,2.93918839864688e-06,0.8,0.0206571653093288,6226.66986907436,1,1,1,1,0.5875283,none,
22,1e-05,3,3.1019785901381e-06,0.8,0.0210317469107061,6340.17708643463,1,1,1,1,0.5869993,none,
23,1e-05,3,3.27378509594858e-06,0.8,0.0214131201695085,6455.76433329487,1,1,1,1,0.5866695,none,
24,1e-05,3,3.45510729459222e-06,0.8,0.0218014082024265,6573.47012774459,1,1,1,1,0.5862878,none,
25,1e-05,3,3.64647222321274e-06,0.8,0.0221967364191049,6693.33373506798,1,1,1,1,0.5857929,none,
26,1e-05,3,3.84843610948743e-06,0.8,0.0225992324571327,6815.3951495777,1,1,1,1,0.5854387,none,
27,1e-05,3,4.06158598837698e-06,0.8,0.0230090262607148,6939.69512096138,1,1,1,1,0.1261194,none,
28,1e-05,3,4.28654140842093e-06,0.8,0.0234262501808469,7066.27518661066,1,1,1,1,0.1256488,none,
29,1e-05,3,4.52395623253806e-06,0.8,0.0238510389175756,7195.17765661811,1,1,1,1,0.1257338,none,
30,1e-05,3,4.77452053856613e-06,0.8,0.0242835295914132,7326.44563759081,1,1,1,1,0.1258828,none,
31,1e-05,3,5.03896262506515e-06,0.8,0.0247238619088341,7460.12308628277,1,1,1,1,0.1259782,none,
32,1e-05,3,5.3180511282142e-06,0.8,0.0251721780380326,7596.25477296904,1,1,1,1,0.1261247,none,
33,1e-05,3,5.61259725595497e-06,0.8,0.0256286226955792,7734.88631140599,1,1,1,1,0.1262033,none,
34,1e-05,3,5.92345714587581e-06,0.8,0.0260933433241352,7876.06421536146,1,1,1,1,0.1263656,none,
35,1e-05,3,6.25153435368971e-06,0.8,0.026566489889857,8019.83583992129,1,1,1,1,0.126482,none,
