Row,g,k,v_Hb,f,lb,tb,lb<f,k*vHb<c,reached_birth,success,execution_time,error_type,error_message
1,0.001,0.0001,1e-10,0.5,0.000419313442922136,1.25869015363722,1,1,1,1,0.2175066,none,
2,0.00161559809843987,0.0001,1e-10,0.5,0.000435316888824388,0.809089728034309,1,1,1,1,0.2188687,none,
3,0.00261015721568254,0.0001,1e-10,0.5,0.000445527059544575,0.512813129295,1,1,1,1,0.2215885,none,
4,0.00421696503428582,0.0001,1e-10,0.5,0.000452199222701064,0.322433919017804,1,1,1,1,0.2239642,none,
5,0.00681292069057962,0.0001,1e-10,0.5,0.000456546935489377,0.201778510578206,1,1,1,1,0.2216637,none,
6,0.0110069417125221,0.0001,1e-10,0.5,0.000459344570487938,0.125928810138896,1,1,1,1,0.2295576,none,
7,0.0177827941003892,0.0001,1e-10,0.5,0.000461123234967105,0.0785137160391008,1,1,1,1,0.2308267,none,
8,0.0287298483335366,0.0001,1e-10,0.5,0.000462244004499645,0.0489784531470827,1,1,1,1,0.379479,none,
9,0.0464158883361278,0.0001,1e-10,0.5,0.0004629459089809,0.0306167487167648,1,1,1,1,0.3799638,none,
10,0.0749894209332456,0.0001,1e-10,0.5,0.000463384267798046,0.0192325105517742,1,1,1,1,0.3805597,none,
11,0.121152765862859,0.0001,1e-10,0.5,0.000463657708842005,0.0121459055386495,1,1,1,1,0.223205,none,
12,0.195734178148766,0.0001,1e-10,0.5,0.000463828614365287,0.00773523260632149,1,1,1,1,0.2236449,none,
13,0.316227766016838,0.0001,1e-10,0.5,0.00046393625658472,0.0049972082271621,1,1,1,1,0.2234297,none,
14,0.510896977450693,0.0001,1e-10,0.5,0.000464005097059714,0.00325544049686346,1,1,1,1,0.3706566,none,
15,0.825404185268018,0.0001,1e-10,0.5,0.000464050235762528,0.00216449530138271,1,1,1,1,0.3702921,none,
16,1.33352143216332,0.0001,1e-10,0.5,0.000464080843526517,0.00143918120104384,1,1,1,1,0.3702612,none,
17,2.15443469003188,0.0001,1e-10,0.5,0.000464102363269655,0.000980756686818311,1,1,1,1,0.3704194,none,
18,3.48070058842841,0.0001,1e-10,0.5,0.0004641179843427,0.000657198372717842,1,1,1,1,0.3692754,none,
19,5.62341325190349,0.0001,1e-10,0.5,0.000464129553706591,0.000455783453538152,1,1,1,1,0.3688648,none,
20,9.08517575651687,0.0001,1e-10,0.5,0.000464138186064446,0.000324202975254344,1,1,1,1,0.3679474,none,
21,14.6779926762207,0.0001,1e-10,0.5,0.000464144584926152,0.000216388089740179,1,1,1,1,0.367218,none,
22,23.7137370566166,0.0001,1e-10,0.5,0.000464149235168634,0.000160636640282535,1,1,1,1,0.3668925,none,
23,38.3118684955729,0.0001,1e-10,0.5,0.00046415251785238,0.000127704641272019,1,1,1,1,0.3663765,none,
24,61.8965818891261,0.0001,1e-10,0.5,0.000464154762903972,8.73814141942441e-05,1,1,1,1,0.3651581,none,
25,100,0.0001,1e-10,0.5,0.000464156254982791,7.64750780347097e-05,1,1,1,1,0.3629181,none,
26,0.001,0.000183298071083244,1e-10,0.5,0.000416370830767038,1.24985558509931,1,1,1,1,0.3612019,none,
27,0.00161559809843987,0.000183298071083244,1e-10,0.5,0.000434476365362994,0.807527241145051,1,1,1,1,0.0691829,none,
28,0.00261015721568254,0.000183298071083244,1e-10,0.5,0.000445308494452478,0.512561510528997,1,1,1,1,0.0688342,none,
29,0.00421696503428582,0.000183298071083244,1e-10,0.5,0.000452147141183083,0.322396776375876,1,1,1,1,0.0685955,none,
30,0.00681292069057962,0.000183298071083244,1e-10,0.5,0.000456535388818614,0.201773406408782,1,1,1,1,0.0684721,none,
31,0.0110069417125221,0.000183298071083244,1e-10,0.5,0.000459342119214083,0.125928138002607,1,1,1,1,0.0684473,none,
32,0.0177827941003892,0.000183298071083244,1e-10,0.5,0.000461122761932214,0.0785136354826139,1,1,1,1,0.0682206,none,
33,0.0287298483335366,0.000183298071083244,1e-10,0.5,0.000462243967479923,0.0489784492238401,1,1,1,1,0.0673673,none,
34,0.0464158883361278,0.000183298071083244,1e-10,0.5,0.000462945972977669,0.0306167529499182,1,1,1,1,0.0664215,none,
35,0.0749894209332456,0.000183298071083244,1e-10,0.5,0.000463384323942411,0.0192325128824197,1,1,1,1,0.0652783,none,
36,0.121152765862859,0.000183298071083244,1e-10,0.5,0.000463657748623335,0.0121459065809294,1,1,1,1,0.064715,none,
37,0.195734178148766,0.000183298071083244,1e-10,0.5,0.000463828641394207,0.00773523305715194,1,1,1,1,0.0698513,none,
38,0.316227766016838,0.000183298071083244,1e-10,0.5,0.000463936275005819,0.00499720842561073,1,1,1,1,0.0709727,none,
39,0.510896977450693,0.000183298071083244,1e-10,0.5,0.000464005109837863,0.00325544058652613,1,1,1,1,0.0730018,none,
40,0.825404185268018,0.000183298071083244,1e-10,0.5,0.000464050244804138,0.00216449534356075,1,1,1,1,0.0747436,none,
41,1.33352143216332,0.000183298071083244,1e-10,0.5,0.000464080850023609,0.00143918122119414,1,1,1,1,0.076346,none,
42,2.15443469003188,0.000183298071083244,1e-10,0.5,0.000464102367948921,0.000980756696707438,1,1,1,1,0.0778129,none,
43,3.48070058842841,0.000183298071083244,1e-10,0.5,0.000464117987685607,0.000657198377451727,1,1,1,1,0.0792723,none,
44,5.62341325190349,0.000183298071083244,1e-10,0.5,0.00046412955615197,0.000455783455939663,1,1,1,1,0.0797761,none,
45,9.08517575651687,0.000183298071083244,1e-10,0.5,0.000464138187642829,0.000324202976356889,1,1,1,1,0.0797907,none,
46,14.6779926762207,0.000183298071083244,1e-10,0.5,0.000464144585941958,0.000216388090213767,1,1,1,1,0.0794969,none,
47,23.7137370566166,0.000183298071083244,1e-10,0.5,0.000464149235819614,0.000160636640507835,1,1,1,1,0.0794414,none,
48,38.3118684955729,0.000183298071083244,1e-10,0.5,0.000464152518252329,0.00012770464138206,1,1,1,1,0.0792123,none,
49,61.8965818891261,0.000183298071083244,1e-10,0.5,0.000464154763147288,8.73814142400509e-05,1,1,1,1,0.0776246,none,
