Row,g,k,v_Hb,f,lb,tb,lb<f,k*vHb<c,reached_birth,success,execution_time,error_type,error_message
1,1e-06,0.3,1e-08,1,0.00144302492774805,4325.99502183859,1,1,1,1,0.5811351,none,
2,1.05538610303652e-06,0.3,1e-08,1,0.00144306784666029,4099.1641788511,1,1,1,1,0.5762109,none,
3,1.11383982648262e-06,0.3,1e-08,1,0.00144311309359814,3884.23210204584,1,1,1,1,0.5756462,none,
4,1.17553107387837e-06,0.3,1e-08,1,0.00144316091447971,3680.57500724892,1,1,1,1,0.5754836,none,
5,1.24063915905883e-06,0.3,1e-08,1,0.00144321130072376,3487.6011419786,1,1,1,1,0.5715051,none,
6,1.30935332735361e-06,0.3,1e-08,1,0.00144326446589477,3304.75033453757,1,1,1,1,0.5751984,none,
7,1.38187330565363e-06,0.3,1e-08,1,0.00144332064291802,3131.4917883202,1,1,1,1,0.5754024,none,
8,1.45840988294399e-06,0.3,1e-08,1,0.00144337987742903,2967.32211277009,1,1,1,1,0.5754835,none,
9,1.53918552299021e-06,0.3,1e-08,1,0.00144344236540094,2811.76463207973,1,1,1,1,0.5756794,none,
10,1.62443501095887e-06,0.3,1e-08,1,0.00144350836497282,2664.36775754025,1,1,1,1,0.5758385,none,
11,1.71440613585197e-06,0.3,1e-08,1,0.0014435779186186,2524.70316678677,1,1,1,1,0.5760674,none,
12,1.80936041073872e-06,0.3,1e-08,1,0.0014436513829527,2392.36554485131,1,1,1,1,0.5762022,none,
13,1.9095738328781e-06,0.3,1e-08,1,0.00144372887465343,2266.97039859007,1,1,1,1,0.5762665,none,
14,2.01533768594174e-06,0.3,1e-08,1,0.00144381062994629,2148.15358467435,1,1,1,1,0.5763525,none,
15,2.12695938666869e-06,0.3,1e-08,1,0.00144389693019976,2035.57010143427,1,1,1,1,0.5764352,none,
16,2.24476337841322e-06,0.3,1e-08,1,0.00144398798627147,1928.89291873248,1,1,1,1,0.5765892,none,
17,2.36909207418263e-06,0.3,1e-08,1,0.00144408405084499,1827.81220330989,1,1,1,1,0.5766017,none,
18,2.50030685190633e-06,0.3,1e-08,1,0.00144418542347936,1732.03441244502,1,1,1,1,0.5766865,none,
19,2.63878910482893e-06,0.3,1e-08,1,0.00144429238193921,1641.28135421328,1,1,1,1,0.5766352,none,
20,2.78494135008064e-06,0.3,1e-08,1,0.00144440524922993,1555.2894604821,1,1,1,1,0.576392,none,
21,2.93918839864688e-06,0.3,1e-08,1,0.00144452430290974,1473.80892132728,1,1,1,1,0.5763719,none,
22,3.1019785901381e-06,0.3,1e-08,1,0.00144464997183944,1396.60316694377,1,1,1,1,0.5761435,none,
23,3.27378509594858e-06,0.3,1e-08,1,0.00144478251163169,1323.447845271,1,1,1,1,0.5756332,none,
24,3.45510729459222e-06,0.3,1e-08,1,0.00144492238033965,1254.13054724824,1,1,1,1,0.5751757,none,
25,3.64647222321274e-06,0.3,1e-08,1,0.0014450699509793,1188.44990610669,1,1,1,1,0.5746943,none,
26,3.84843610948743e-06,0.3,1e-08,1,0.00144522564178468,1126.21513999836,1,1,1,1,0.5747536,none,
27,4.06158598837698e-06,0.3,1e-08,1,0.00144538992545182,1067.24549780162,1,1,1,1,0.0363733,none,
28,4.28654140842093e-06,0.3,1e-08,1,0.00144556320989732,1011.36964348069,1,1,1,1,0.1425405,none,
29,4.52395623253806e-06,0.3,1e-08,1,0.00144574602876553,958.42530144919,1,1,1,1,0.1429948,none,
30,4.77452053856613e-06,0.3,1e-08,1,0.00144593889766391,908.258676431264,1,1,1,1,0.0358539,none,
31,5.03896262506515e-06,0.3,1e-08,1,0.00144614237303945,860.724048042999,1,1,1,1,0.1427254,none,
32,5.3180511282142e-06,0.3,1e-08,1,0.00144635699004073,815.683310795644,1,1,1,1,0.1427994,none,
33,5.61259725595497e-06,0.3,1e-08,1,0.00144658340742176,773.005655589803,1,1,1,1,0.1429418,none,
34,5.92345714587581e-06,0.3,1e-08,1,0.0014468222062455,732.567075640994,1,1,1,1,0.1431553,none,
35,6.25153435368971e-06,0.3,1e-08,1,0.00144707409399888,694.250118139925,1,1,1,1,0.1426853,none,
36,6.59778247953953e-06,0.3,1e-08,1,0.0014473397508576,657.94345975056,1,1,1,1,0.1417161,none,
37,6.96320793976389e-06,0.3,1e-08,1,0.00144761993360715,623.541636086481,1,1,1,1,0.141374,none,
38,7.34887289218039e-06,0.3,1e-08,1,0.00144791540130507,590.944696818881,1,1,1,1,0.1405358,none,
39,7.755898323389e-06,0.3,1e-08,1,0.00144822698234765,560.057950806395,1,1,1,1,0.1399386,none,
40,8.18546730706902e-06,0.3,1e-08,1,0.00144855554059317,530.791668437799,1,1,1,1,0.1387173,none,
41,8.63882844274045e-06,0.3,1e-08,1,0.00144890197489672,503.060824851898,1,1,1,1,0.1380029,none,
42,9.11729948498492e-06,0.3,1e-08,1,0.00144926724491526,476.784858465584,1,1,1,1,0.1369213,none,
43,9.62227117367513e-06,0.3,1e-08,1,0.00144965235865294,451.887435112911,1,1,1,1,0.1358002,none,
44,1.01552112763457e-05,0.3,1e-08,1,0.00145005834440339,428.296214818452,1,1,1,1,0.134681,none,
45,1.0717668854455e-05,0.3,1e-08,1,0.00145048633748411,405.94266892803,1,1,1,1,0.1335282,none,
46,1.13112787659392e-05,0.3,1e-08,1,0.00145093748674598,384.761849794089,1,1,1,1,0.1332851,none,
47,1.19377664171444e-05,0.3,1e-08,1,0.00145141302052339,364.692223475724,1,1,1,1,0.1322534,none,
48,1.25989527779503e-05,0.3,1e-08,1,0.00145191423701546,345.675485648805,1,1,1,1,0.1319332,none,
49,1.32967596746621e-05,0.3,1e-08,1,0.00145244247192057,327.656383780969,1,1,1,1,0.1304278,none,
50,1.40332153760548e-05,0.3,1e-08,1,0.00145299915777416,310.582570861612,1,1,1,1,0.1295644,none,
51,1.48104604888068e-05,0.3,1e-08,1,0.00145358577367136,294.404439115946,1,1,1,1,0.1291234,none,
52,1.56307541794582e-05,0.3,1e-08,1,0.00145420388341443,279.074986861654,1,1,1,1,0.1284908,none,
53,1.64964807409802e-05,0.3,1e-08,1,0.00145485512747186,264.549678118987,1,1,1,1,0.0217863,none,
54,1.74101565230402e-05,0.3,1e-08,1,0.00145554120328942,250.786307276866,1,1,1,1,0.0215624,none,
55,1.83744372461072e-05,0.3,1e-08,1,0.00145626392092303,237.744888682918,1,1,1,1,0.1444407,none,
56,1.93921257206583e-05,0.3,1e-08,1,0.00145702514566213,225.387529862658,1,1,1,1,0.0362122,none,
57,2.04661799939199e-05,0.3,1e-08,1,0.00145782684654028,213.678327719739,1,1,1,1,0.1443466,none,
58,2.15997219478272e-05,0.3,1e-08,1,0.00145867107670699,202.583261793725,1,1,1,1,0.0367772,none,
59,2.27960463731898e-05,0.3,1e-08,1,0.00145955998315958,192.070093276515,1,1,1,1,0.1447036,none,
60,2.40586305464407e-05,0.3,1e-08,1,0.00146049580582007,182.108279622709,1,1,1,1,0.1450849,none,
61,2.53911443368035e-05,0.3,1e-08,1,0.00146148088348041,172.668873554947,1,1,1,1,0.1448362,none,
62,2.67974608732569e-05,0.3,1e-08,1,0.00146251766354713,163.724450213476,1,1,1,1,0.1445571,none,
63,2.82816678023003e-05,0.3,1e-08,1,0.00146360868291539,155.24902087411,1,1,1,1,0.1442565,none,
64,2.98480791692433e-05,0.3,1e-08,1,0.00146475660206854,147.217959811091,1,1,1,1,0.1441153,none,
65,3.15012479575533e-05,0.3,1e-08,1,0.00146596417159525,139.60793299606,1,1,1,1,0.1437128,none,
66,3.32459793227095e-05,0.3,1e-08,1,0.00146723427003288,132.396828393585,1,1,1,1,0.14325,none,
67,3.50873445590271e-05,0.3,1e-08,1,0.00146856987022384,125.563694718577,1,1,1,1,0.1428202,none,
68,3.70306958400514e-05,0.3,1e-08,1,0.00146997407031273,119.088677367874,1,1,1,1,0.1420706,none,
69,3.90816817753626e-05,0.3,1e-08,1,0.00147145007952095,112.952964015991,1,1,1,1,0.1412923,none,
70,4.12462638290135e-05,0.3,1e-08,1,0.00147300121847817,107.138728333266,1,1,1,1,0.1407625,none,
