Row,g,k,v_Hb,f,lb,tb,lb<f,k*vHb<c,reached_birth,success,execution_time,error_type,error_message
1,5e-05,0.3,5e-05,1,0.0246999554737147,1488.97246124487,1,1,1,1,0.5527093,none,
2,5.02323600445104e-05,0.3,5e-05,1,0.0247001307575403,1482.09619233446,1,1,1,1,0.5498245,none,
3,5.04657999128264e-05,0.3,5e-05,1,0.0247003068898215,1475.25172922201,1,1,1,1,0.5496263,none,
4,5.07003246231063e-05,0.3,5e-05,1,0.0241203408039526,1433.78218010654,1,0,0,1,0.2570733,none,
5,5.09359392168286e-05,0.3,5e-05,1,0.024700661681895,1461.65763062418,1,1,1,1,0.5432722,none,
6,5.11726487589006e-05,0.3,5e-05,1,0.0247008402371383,1454.90769631689,1,1,1,1,0.5437369,none,
7,5.14104583377671e-05,0.3,5e-05,1,0.0247010196391299,1448.18898252556,1,1,1,1,0.5449902,none,
8,5.16493730655204e-05,0.3,5e-05,1,0.0247011998994032,1441.50134520406,1,1,1,1,0.5468569,none,
9,5.18893980780091e-05,0.3,5e-05,1,0.0247013809890547,1434.84463874769,1,1,1,1,0.5489901,none,
10,5.21305385349495e-05,0.3,5e-05,1,0.0247015628880216,1428.21871871193,1,1,1,1,0.5506326,none,
11,5.23727996200361e-05,0.3,5e-05,1,0.0247017456399954,1421.62344502959,1,1,1,1,0.5521156,none,
12,5.2616186541053e-05,0.3,5e-05,1,0.0241416751980138,1382.80845637678,1,0,0,1,0.2567337,none,
13,5.28607045299858e-05,0.3,5e-05,1,0.0247021137220119,1408.52427062889,1,1,1,1,0.5531793,none,
14,5.31063588431346e-05,0.3,5e-05,1,0.0247022989301021,1402.02008094732,1,1,1,1,0.5550092,none,
15,5.3353154761226e-05,0.3,5e-05,1,0.0241495177993909,1364.15479307287,1,0,0,1,0.257797,none,
16,5.36010975895277e-05,0.3,5e-05,1,0.0241521132199166,1357.99189829928,1,0,0,1,0.2609428,none,
17,5.38501926579618e-05,0.3,5e-05,1,0.0247028600788288,1382.68747283362,1,1,1,1,0.5541786,none,
18,5.41004453212197e-05,0.3,5e-05,1,0.0247030488677619,1376.30278885334,1,1,1,1,0.5545806,none,
19,5.43518609588771e-05,0.3,5e-05,1,0.0247032384592565,1369.94763090511,1,1,1,1,0.5552343,none,
20,5.46044449755096e-05,0.3,5e-05,1,0.0247034288889474,1363.62186421676,1,1,1,1,0.5557169,none,
21,5.4858202800809e-05,0.3,5e-05,1,0.0247036203208132,1357.32536170634,1,1,1,1,0.5561817,none,
22,5.51131398897001e-05,0.3,5e-05,1,0.0247038126251832,1351.05798061358,1,1,1,1,0.5560527,none,
23,5.53692617224577e-05,0.3,5e-05,1,0.0247040057160545,1344.81958133331,1,1,1,1,0.5558181,none,
24,5.56265738048243e-05,0.3,5e-05,1,0.024704199792933,1338.61004051496,1,1,1,1,0.5555764,none,
25,5.58850816681293e-05,0.3,5e-05,1,0.0247043947105219,1332.42921654194,1,1,1,1,0.5552515,none,
26,5.61447908694067e-05,0.3,5e-05,1,0.0247045905730736,1326.27698133995,1,1,1,1,0.5549805,none,
27,5.64057069915155e-05,0.3,5e-05,1,0.0241800572367613,1291.97672878632,1,0,0,1,0.1992082,none,
28,5.66678356432592e-05,0.3,5e-05,1,0.0247049848806976,1314.05773790685,1,1,1,1,0.3386924,none,
29,5.69311824595067e-05,0.3,5e-05,1,0.024705183481951,1307.99047472766,1,1,1,1,0.3398402,none,
30,5.7195753101313e-05,0.3,5e-05,1,0.0247053829764536,1301.95127171053,1,1,1,1,0.3408909,none,
31,5.74615532560415e-05,0.3,5e-05,1,0.0247055834009639,1295.94000120077,1,1,1,1,0.0632501,none,
32,5.77285886374856e-05,0.3,5e-05,1,0.0247057846768212,1289.95652965261,1,1,1,1,0.0647244,none,
33,5.79968649859922e-05,0.3,5e-05,1,0.0247059869410038,1284.00073546513,1,1,1,1,0.0660952,none,
34,5.82663880685842e-05,0.3,5e-05,1,0.0247061901451787,1278.07248786913,1,1,1,1,0.2200462,none,
35,5.85371636790858e-05,0.3,5e-05,1,0.0247063943067979,1272.1716602869,1,1,1,1,0.2231563,none,
36,5.88091976382453e-05,0.3,5e-05,1,0.024706599308582,1266.29811932311,1,1,1,1,0.06603,none,
37,5.90824957938622e-05,0.3,5e-05,1,0.0247068053939395,1260.45175123761,1,1,1,1,0.0672216,none,
38,5.9357064020911e-05,0.3,5e-05,1,0.0247070122803983,1254.63241564984,1,1,1,1,0.0682247,none,
39,5.96329082216691e-05,0.3,5e-05,1,0.0247072202703839,1248.84000274541,1,1,1,1,0.2310062,none,
40,5.99100343258424e-05,0.3,5e-05,1,0.0247074291148943,1243.07437512385,1,1,1,1,0.0682287,none,
41,6.01884482906939e-05,0.3,5e-05,1,0.0247076389797857,1237.33541707872,1,1,1,1,0.2323013,none,
42,6.04681561011706e-05,0.3,5e-05,1,0.0247078497534992,1231.62299942351,1,1,1,1,0.2341646,none,
43,6.07491637700331e-05,0.3,5e-05,1,0.0247080616092452,1225.93700784978,1,1,1,1,0.2362296,none,
44,6.10314773379846e-05,0.3,5e-05,1,0.0247082743590197,1220.27731053491,1,1,1,1,0.065901,none,
45,6.13151028738002e-05,0.3,5e-05,1,0.0247084880631596,1214.64378866078,1,1,1,1,0.2367312,none,
46,6.16000464744586e-05,0.3,5e-05,1,0.0247087028480789,1209.03632780901,1,1,1,1,0.0644236,none,
47,6.18863142652714e-05,0.3,5e-05,1,0.0242281588557074,1179.92513258155,1,0,0,1,0.0639235,none,
